time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:21:53 2026,37.9778515625,132491,21.99579103716746,1007.9243832706687,44.4340495880659,0,0,0,0,0,0,132,38,4,2,0,0
Wed Feb 18 16:21:54 2026,38.047578125,132989,21.817783323836164,1007.9275962631452,44.40718487638546,0,0,0,0,0,0,132,38,4,2,0,0
Wed Feb 18 16:21:55 2026,38.1028515625,132789,21.68729175908168,1007.9250524974641,44.428453993487814,0,0,0,0,0,0,132,40,8,2,0,0
Wed Feb 18 16:21:56 2026,38.1466015625,133390,21.652799159271144,1007.925091807242,44.428125313407264,0,1,1,0,1,1,132,40,8,2,0,0
Wed Feb 18 16:21:57 2026,38.1973828125,133289,21.731739812815686,1007.9169887257111,44.49587767081147,0,1,1,0,1,1,132,40,8,2,0,0
Wed Feb 18 16:21:58 2026,38.2520703125,135536,21.816410997602723,1007.9063304694162,44.58499530203827,0,1,1,0,1,1,114,32,8,2,0,0
Wed Feb 18 16:21:59 2026,38.3079296875,134200,21.82583438112129,1007.9064663556819,44.58385910180347,0,1,1,0,1,1,114,32,8,2,0,0
Wed Feb 18 16:22:00 2026,38.347578125,134916,21.71565571769149,1007.910470004183,44.55038302695966,0,1,1,0,1,1,114,32,8,2,0,0
Wed Feb 18 16:22:01 2026,38.3981640625,135019,21.590197268704973,1007.9198050328504,44.47232961044457,0,1,1,0,1,1,144,42,10,2,0,0
Wed Feb 18 16:22:02 2026,38.4481640625,136478,21.588404491799864,1007.9174913205937,44.49167530756018,0,1,1,0,1,1,144,42,10,2,0,0
Wed Feb 18 16:22:03 2026,38.478828125,135744,21.579847880928284,1007.9050682255322,44.59554944152005,0,1,1,0,1,1,144,42,10,2,0,0
Wed Feb 18 16:22:04 2026,38.5087109375,137112,21.47447430944774,1007.9109587340083,44.54629657264627,0,1,1,0,1,1,132,38,10,2,0,0
Wed Feb 18 16:22:05 2026,38.5442578125,138184,21.35345941599403,1007.9189389151435,44.47957149673858,0,1,1,0,1,1,132,38,10,2,0,0
Wed Feb 18 16:22:06 2026,38.5899609375,138943,21.292279771188934,1007.9167236644295,44.4980939371786,0,0,0,0,0,0,132,38,10,2,0,0
Wed Feb 18 16:22:07 2026,38.6364453125,139381,21.14534200984858,1007.9086445158665,44.56564663714723,0,0,0,0,0,0,132,38,14,2,0,0
Wed Feb 18 16:22:08 2026,38.6751171875,140266,21.05692401140047,1007.909219997508,44.560834811306684,0,0,0,0,0,0,132,38,14,2,0,0
Wed Feb 18 16:22:09 2026,38.713984375,140824,20.984631106926678,1007.910106427817,44.5534230270598,0,0,0,0,0,0,132,38,14,2,0,0
Wed Feb 18 16:22:10 2026,38.7551953125,140936,20.81081905616812,1007.9023277186957,44.618463981470846,0,0,0,0,0,0,132,38,10,0,0,0
Wed Feb 18 16:22:11 2026,38.7981640625,141387,20.696119582140483,1007.900963231868,44.62987305335298,0,0,0,0,0,0,132,38,10,0,0,0
Wed Feb 18 16:22:12 2026,38.838203125,142526,20.624042561346343,1007.8966062486943,44.66630378132641,0,0,0,0,0,0,132,38,10,0,0,0
Wed Feb 18 16:22:13 2026,38.86671875,142182,20.561882022545202,1007.9002262141075,44.636035586790086,0,0,0,0,0,0,144,42,10,0,0,0
Wed Feb 18 16:22:14 2026,38.8942578125,142526,20.51035597358831,1007.9093822537698,44.55947812399266,0,0,0,0,0,0,144,42,10,0,0,0
Wed Feb 18 16:22:15 2026,38.927265625,143684,20.400494943176724,1007.9078278226193,44.57247533086046,0,0,0,0,0,0,144,42,10,0,0,0
Wed Feb 18 16:22:16 2026,38.956171875,143567,20.338433943835973,1007.9102902384061,44.55188611679308,0,0,0,0,0,0,168,48,12,0,0,0
Wed Feb 18 16:22:17 2026,38.9727734375,144388,20.32889561950427,1007.9087766424979,44.564541874795054,0,0,0,0,0,0,168,48,12,0,0,0
Wed Feb 18 16:22:18 2026,38.9985546875,144270,20.34666061963344,1007.9114976736366,44.54179029709954,0,0,0,0,0,0,168,48,12,0,0,0
Wed Feb 18 16:22:19 2026,39.0337109375,144980,20.263700255142368,1007.9080741254542,44.57041589543544,0,0,0,0,0,0,156,46,14,0,0,0
Wed Feb 18 16:22:20 2026,39.0610546875,144388,20.244226513309634,1007.9115466820426,44.541380519610264,0,0,0,0,0,0,156,46,14,0,0,0
Wed Feb 18 16:22:21 2026,39.0809765625,144270,20.34161184875923,1007.9189892802282,44.47915037807304,0,0,0,0,0,0,156,46,14,0,0,0
Wed Feb 18 16:22:22 2026,39.1059765625,144861,20.4447656576318,1007.9311232302706,44.37769501635189,0,0,0,0,0,0,168,50,14,0,0,0
Wed Feb 18 16:22:23 2026,39.1301953125,144861,20.5105417499548,1007.947332687753,44.24216473608704,0,0,0,0,0,0,168,50,14,0,0,0
Wed Feb 18 16:22:24 2026,39.156171875,145218,20.576478628680338,1007.9574855428863,44.15727573020341,0,0,0,0,0,0,168,50,14,0,0,0
Wed Feb 18 16:22:25 2026,39.1524609375,146663,20.469323002482678,1007.9603646551682,44.13320331934335,0,0,0,0,0,0,150,44,10,0,0,0
Wed Feb 18 16:22:26 2026,39.1534375,146906,20.35723488910919,1007.9673007108307,44.075210817817364,0,0,0,0,0,0,150,44,10,0,0,0
Wed Feb 18 16:22:27 2026,39.16828125,145576,20.272855472981117,1007.9682628550439,44.067166336132686,0,0,0,0,0,0,150,44,10,0,0,0
Wed Feb 18 16:22:28 2026,39.1895703125,147273,20.306323033227386,1007.9565282194428,44.16527997474187,0,0,0,0,0,0,162,48,10,0,0,0
Wed Feb 18 16:22:29 2026,39.2118359375,147028,20.29716680433875,1007.9463785908482,44.25014206837303,0,0,0,0,0,0,162,48,10,0,0,0
Wed Feb 18 16:22:30 2026,39.233125,145337,20.49089541370065,1007.9435527236483,44.27376955922101,0,0,0,0,0,0,162,48,10,0,0,0
Wed Feb 18 16:22:31 2026,39.267109375,144270,20.878636970942605,1007.9364034089868,44.33354626901914,0,0,0,0,0,0,132,38,8,0,0,0
Wed Feb 18 16:22:32 2026,39.30890625,145456,21.101536206327875,1007.9312504631916,44.37663119142828,0,0,0,0,0,0,132,38,8,0,0,0
Wed Feb 18 16:22:33 2026,39.342890625,145456,21.136159022585794,1007.9276542260128,44.40670023358062,0,0,0,0,0,0,132,38,8,0,0,0
Wed Feb 18 16:22:34 2026,39.363203125,145337,21.15908317992638,1007.9285766023489,44.39898800512086,0,0,0,0,0,0,132,38,8,0,0,0
Wed Feb 18 16:22:35 2026,39.3805859375,144742,21.18717971805372,1007.9283013593968,44.40128938243737,0,0,0,0,0,0,132,38,8,0,0,0
Wed Feb 18 16:22:36 2026,39.401875,145576,21.177939983961327,1007.9272409906075,44.41015540414196,0,0,0,0,0,0,132,38,8,0,0,0
Wed Feb 18 16:22:37 2026,39.4266796875,144506,21.437896676348885,1007.9283261494207,44.40108210663139,0,0,0,0,0,0,126,38,4,0,0,0
Wed Feb 18 16:22:38 2026,39.4262890625,143567,21.79907622059113,1007.9259077846857,44.42130269942863,0,0,0,0,0,0,126,38,4,0,0,0
Wed Feb 18 16:22:39 2026,39.442109375,144388,22.0487726086873,1007.9337884459178,44.355410532794956,0,0,0,0,0,0,126,38,4,0,0,0
Wed Feb 18 16:22:40 2026,39.4731640625,143801,22.04564331104538,1007.9307596016146,44.38073540322235,0,0,0,0,0,0,126,38,4,0,0,0
Wed Feb 18 16:22:41 2026,39.5071484375,142987,22.037320282553257,1007.939622176691,44.3066335290142,0,0,0,0,0,0,126,38,4,0,0,0
Wed Feb 18 16:22:42 2026,39.534296875,142297,22.17459811910464,1007.9284517263301,44.40003212566496,0,0,0,0,0,0,126,38,4,0,0,0
Wed Feb 18 16:22:43 2026,39.5704296875,142641,22.51337096883318,1007.9283103434254,44.401214264647685,0,0,0,0,0,0,132,34,4,0,0,0
Wed Feb 18 16:22:44 2026,39.60734375,143801,22.689938393644585,1007.9258647007622,44.42166293596345,0,0,0,0,0,0,132,34,4,0,0,0
Wed Feb 18 16:22:45 2026,39.6508984375,142987,22.568257669995457,1007.9449075549169,44.262441609232646,0,0,0,0,0,0,132,34,4,0,0,0
Wed Feb 18 16:22:46 2026,39.6633984375,142526,22.656115589953217,1007.9348911158885,44.3461908684615,0,0,0,0,0,0,126,34,2,0,0,0
Wed Feb 18 16:22:47 2026,39.6958203125,141840,22.767291087642253,1007.9447560197544,44.26370861712938,0,0,0,0,0,0,126,34,2,0,0,0
Wed Feb 18 16:22:48 2026,39.7251171875,142068,22.96001037959617,1007.9370498240671,44.32814146178602,0,0,0,0,0,0,126,34,2,0,0,0
